iter	Passed	Remaining
0	53	53430
1	59	29815
2	65	21688
3	66	16641
4	72	14494
5	74	12381
6	78	11088
7	80	10043
8	82	9030
9	82	8191
10	88	7935
11	89	7353
12	92	7024
13	95	6755
14	98	6449
15	99	6102
16	105	6075
17	108	5939
18	111	5731
19	113	5580
20	114	5355
21	116	5182
22	118	5036
23	122	4962
24	123	4797
25	126	4746
26	128	4614
27	130	4547
28	132	4420
29	135	4369
30	136	4259
31	138	4178
32	141	4136
33	142	4038
34	144	3988
35	146	3916
36	148	3855
37	149	3789
38	151	3720
39	152	3653
40	156	3649
41	157	3583
42	158	3518
43	160	3491
44	162	3458
45	164	3407
46	166	3367
47	169	3363
48	171	3320
49	173	3290
50	175	3262
51	176	3214
52	177	3175
53	179	3139
54	180	3106
55	182	3072
56	187	3097
57	189	3071
58	190	3042
59	192	3012
60	193	2980
61	194	2944
62	195	2908
63	196	2877
64	197	2843
65	198	2811
66	200	2785
67	201	2755
68	202	2726
69	202	2696
70	208	2733
71	210	2716
72	214	2723
73	215	2700
74	217	2678
75	219	2666
76	220	2646
77	224	2648
78	225	2626
79	226	2604
80	230	2614
81	233	2616
82	235	2597
83	239	2607
84	242	2608
85	245	2614
86	249	2614
87	250	2597
88	254	2603
89	255	2586
90	260	2604
91	264	2610
92	269	2632
93	272	2630
94	274	2614
95	278	2619
96	281	2617
97	282	2601
98	285	2596
99	288	2599
100	291	2597
101	295	2602
102	297	2586
103	300	2587
104	305	2600
105	306	2588
106	313	2614
107	315	2609
108	317	2594
109	321	2599
110	324	2597
111	326	2589
112	331	2600
113	336	2613
114	339	2610
115	342	2608
116	343	2594
117	347	2599
118	351	2600
119	354	2601
120	358	2601
121	359	2587
122	363	2590
123	366	2588
124	367	2574
125	385	2674
126	387	2666
127	393	2678
128	396	2675
129	399	2671
130	402	2668
131	404	2659
132	406	2650
133	411	2656
134	414	2655
135	415	2641
136	419	2641
137	422	2639
138	426	2639
139	427	2626
140	431	2627
141	434	2626
142	437	2624
143	440	2618
144	443	2612
145	447	2617
146	450	2613
147	454	2616
148	455	2604
149	460	2609
150	465	2619
151	469	2618
152	470	2606
153	474	2607
154	477	2604
155	480	2601
156	482	2589
157	485	2586
158	489	2591
159	493	2591
160	495	2584
161	506	2618
162	513	2637
163	515	2626
164	520	2634
